Epoch: [0][0/236]	Time 20.613 (20.613)	Loss 0.6797 (0.6797)
Epoch: [0][1/236]	Time 1.394 (22.007)	Loss 0.3678 (0.5238)
Epoch: [0][2/236]	Time 1.508 (23.516)	Loss -0.0549 (0.3309)
Epoch: [0][3/236]	Time 1.854 (25.369)	Loss -0.3729 (0.1549)
Epoch: [0][4/236]	Time 1.599 (26.968)	Loss -0.7520 (-0.0265)
Epoch: [0][5/236]	Time 1.571 (28.539)	Loss -1.0072 (-0.1899)
Epoch: [0][6/236]	Time 1.729 (30.269)	Loss -1.3631 (-0.3575)
Epoch: [0][7/236]	Time 1.225 (31.493)	Loss -1.1226 (-0.4531)
Epoch: [0][8/236]	Time 1.293 (32.786)	Loss -1.4324 (-0.5620)
Epoch: [0][9/236]	Time 1.729 (34.515)	Loss -1.6196 (-0.6677)
Epoch: [0][10/236]	Time 1.519 (36.034)	Loss -1.3311 (-0.7280)
Epoch: [0][11/236]	Time 1.423 (37.457)	Loss -1.6078 (-0.8013)
Epoch: [0][12/236]	Time 1.312 (38.769)	Loss -1.7566 (-0.8748)
Epoch: [0][13/236]	Time 1.395 (40.165)	Loss -1.6491 (-0.9301)
Epoch: [0][14/236]	Time 1.248 (41.412)	Loss -1.8260 (-0.9898)
Epoch: [0][15/236]	Time 1.488 (42.900)	Loss -1.6482 (-1.0310)
Epoch: [0][16/236]	Time 1.482 (44.382)	Loss -1.5131 (-1.0594)
Epoch: [0][17/236]	Time 1.347 (45.729)	Loss -1.4987 (-1.0838)
Epoch: [0][18/236]	Time 1.283 (47.012)	Loss -1.5366 (-1.1076)
Epoch: [0][19/236]	Time 1.359 (48.371)	Loss -1.7178 (-1.1381)
Epoch: [0][20/236]	Time 1.359 (49.730)	Loss -1.6182 (-1.1610)
Epoch: [0][21/236]	Time 1.115 (50.845)	Loss -1.7254 (-1.1866)
Epoch: [0][22/236]	Time 1.410 (52.255)	Loss -1.7748 (-1.2122)
Epoch: [0][23/236]	Time 1.377 (53.632)	Loss -1.5399 (-1.2258)
Epoch: [0][24/236]	Time 1.489 (55.122)	Loss -1.5361 (-1.2383)
Epoch: [0][25/236]	Time 1.421 (56.542)	Loss -1.5570 (-1.2505)
Epoch: [0][26/236]	Time 1.229 (57.771)	Loss -1.5774 (-1.2626)
Epoch: [0][27/236]	Time 1.265 (59.037)	Loss -1.7955 (-1.2817)
Epoch: [0][28/236]	Time 1.347 (60.384)	Loss -1.8664 (-1.3018)
Epoch: [0][29/236]	Time 1.293 (61.677)	Loss -1.7623 (-1.3172)
Epoch: [0][30/236]	Time 1.285 (62.962)	Loss -1.3399 (-1.3179)
Epoch: [0][31/236]	Time 1.399 (64.361)	Loss -1.8665 (-1.3350)
Epoch: [0][32/236]	Time 1.311 (65.673)	Loss -1.8080 (-1.3494)
Epoch: [0][33/236]	Time 1.232 (66.905)	Loss -1.3184 (-1.3485)
Epoch: [0][34/236]	Time 1.341 (68.246)	Loss -1.9930 (-1.3669)
Epoch: [0][35/236]	Time 1.315 (69.561)	Loss -1.6662 (-1.3752)
Epoch: [0][36/236]	Time 1.257 (70.818)	Loss -1.4142 (-1.3763)
Epoch: [0][37/236]	Time 1.380 (72.198)	Loss -1.8154 (-1.3878)
Epoch: [0][38/236]	Time 1.500 (73.698)	Loss -1.5050 (-1.3908)
Epoch: [0][39/236]	Time 1.444 (75.142)	Loss -1.8577 (-1.4025)
Epoch: [0][40/236]	Time 1.278 (76.420)	Loss -1.7665 (-1.4114)
Epoch: [0][41/236]	Time 1.255 (77.675)	Loss -1.8472 (-1.4217)
Epoch: [0][42/236]	Time 1.616 (79.290)	Loss -1.8121 (-1.4308)
Epoch: [0][43/236]	Time 1.533 (80.824)	Loss -1.9209 (-1.4420)
Epoch: [0][44/236]	Time 1.538 (82.361)	Loss -1.9323 (-1.4529)
Epoch: [0][45/236]	Time 1.501 (83.863)	Loss -1.5719 (-1.4554)
Epoch: [0][46/236]	Time 1.274 (85.137)	Loss -1.2035 (-1.4501)
Epoch: [0][47/236]	Time 1.687 (86.824)	Loss -1.6400 (-1.4540)
Epoch: [0][48/236]	Time 1.645 (88.469)	Loss -1.9753 (-1.4647)
Epoch: [0][49/236]	Time 1.940 (90.409)	Loss -1.4885 (-1.4652)
Epoch: [0][50/236]	Time 1.366 (91.775)	Loss -1.7366 (-1.4705)
