Epoch: [0][74/236]	Time 1.252 (127.044)	Loss -1.6751 (-1.6205)
Epoch: [0][75/236]	Time 1.220 (128.264)	Loss -1.4532 (-1.6183)
Epoch: [0][76/236]	Time 1.222 (129.486)	Loss -1.1028 (-1.6116)
Epoch: [0][77/236]	Time 1.259 (130.745)	Loss -1.4613 (-1.6097)
Epoch: [0][78/236]	Time 1.152 (131.896)	Loss -1.5156 (-1.6085)
Epoch: [0][79/236]	Time 1.277 (133.174)	Loss -1.6598 (-1.6091)
Epoch: [0][80/236]	Time 1.202 (134.375)	Loss -1.5104 (-1.6079)
Epoch: [0][81/236]	Time 1.421 (135.796)	Loss -1.2913 (-1.6041)
Epoch: [0][82/236]	Time 1.226 (137.022)	Loss -1.4387 (-1.6021)
Epoch: [0][83/236]	Time 1.198 (138.220)	Loss -1.5346 (-1.6013)
Epoch: [0][84/236]	Time 1.214 (139.434)	Loss -1.4131 (-1.5991)
Epoch: [0][85/236]	Time 1.227 (140.662)	Loss -1.3760 (-1.5965)
Epoch: [0][86/236]	Time 1.241 (141.903)	Loss -1.8122 (-1.5989)
Epoch: [0][87/236]	Time 1.186 (143.088)	Loss -1.7455 (-1.6006)
Epoch: [0][88/236]	Time 1.188 (144.276)	Loss -1.8681 (-1.6036)
Epoch: [0][89/236]	Time 1.210 (145.486)	Loss -1.8752 (-1.6066)
Epoch: [0][90/236]	Time 1.228 (146.714)	Loss -1.4690 (-1.6051)
Epoch: [0][91/236]	Time 1.260 (147.973)	Loss -1.7693 (-1.6069)
Epoch: [0][92/236]	Time 1.211 (149.184)	Loss -1.3798 (-1.6045)
Epoch: [0][93/236]	Time 1.189 (150.374)	Loss -1.2717 (-1.6009)
Epoch: [0][94/236]	Time 1.224 (151.598)	Loss -1.9045 (-1.6041)
Epoch: [0][95/236]	Time 1.241 (152.839)	Loss -1.6275 (-1.6044)
Epoch: [0][96/236]	Time 1.207 (154.045)	Loss -1.7845 (-1.6062)
Epoch: [0][97/236]	Time 1.187 (155.233)	Loss -1.7870 (-1.6081)
Epoch: [0][98/236]	Time 1.233 (156.465)	Loss -1.7366 (-1.6094)
Epoch: [0][99/236]	Time 1.197 (157.663)	Loss -1.7702 (-1.6110)
Epoch: [0][100/236]	Time 1.239 (158.902)	Loss -1.2622 (-1.6075)
Epoch: [0][101/236]	Time 1.199 (160.101)	Loss -1.6241 (-1.6077)
Epoch: [0][102/236]	Time 1.243 (161.344)	Loss -1.8078 (-1.6096)
Epoch: [0][103/236]	Time 1.193 (162.537)	Loss -1.6433 (-1.6099)
Epoch: [0][104/236]	Time 1.265 (163.802)	Loss -1.8136 (-1.6119)
Epoch: [0][105/236]	Time 1.245 (165.047)	Loss -1.7173 (-1.6129)
Epoch: [0][106/236]	Time 1.190 (166.237)	Loss -1.6450 (-1.6132)
Epoch: [0][107/236]	Time 1.185 (167.422)	Loss -1.6963 (-1.6139)
Epoch: [0][108/236]	Time 1.240 (168.662)	Loss -1.7299 (-1.6150)
Epoch: [0][109/236]	Time 1.231 (169.892)	Loss -1.4373 (-1.6134)
Epoch: [0][110/236]	Time 1.190 (171.082)	Loss -1.5579 (-1.6129)
Epoch: [0][111/236]	Time 1.241 (172.323)	Loss -1.2380 (-1.6095)
Epoch: [0][112/236]	Time 1.223 (173.546)	Loss -1.2987 (-1.6068)
Epoch: [0][113/236]	Time 1.229 (174.775)	Loss -1.5702 (-1.6065)
Epoch: [0][114/236]	Time 1.165 (175.940)	Loss -1.6014 (-1.6064)
Epoch: [0][115/236]	Time 1.242 (177.182)	Loss -1.5000 (-1.6055)
Epoch: [0][116/236]	Time 1.237 (178.419)	Loss -1.9198 (-1.6082)
Epoch: [0][117/236]	Time 1.239 (179.658)	Loss -1.7511 (-1.6094)
Epoch: [0][118/236]	Time 1.221 (180.878)	Loss -1.4667 (-1.6082)
Epoch: [0][119/236]	Time 1.188 (182.066)	Loss -1.7622 (-1.6095)
Epoch: [0][120/236]	Time 1.191 (183.257)	Loss -1.4159 (-1.6079)
Epoch: [0][121/236]	Time 1.204 (184.462)	Loss -1.5371 (-1.6073)
